Dataset,Seed,Scaler,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,123,minmax,SVR,0.8090457452518898,0.282183306227645,0.663486439210847,0.018653809691050478,0.09867355063376165,,,,,,,0.6915313496459577,0.6072933987016373,0.7576600321037268,0.5974609763920662
ontario,456,zscore,Explainable Model,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,,,,,,134985.0,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734
ontario,456,zscore,SVR,0.8997151818113804,0.33889260675355637,0.5292502150969796,0.9320923605498955,0.6518272023479104,,,,,,,0.5404294982326954,0.479946699457394,0.5472049475955136,0.549419715102315
ontario,456,robust,Explainable Model,0.7009480199691455,0.6175912415115599,0.5749126196362752,0.5302027469932207,0.49896201219028247,,,,,,134985.0,0.568398441302857,0.5527740374482238,0.6055528710471955,0.5729251287468246
ontario,456,robust,SVR,0.9534038569532253,0.05312224967105844,0.25137011523647823,0.9562824559877572,0.6626188724253087,,,,,,,0.1751680874543251,0.2410009886254868,0.20908691223324216,0.38022447263285886
ontario,456,minmax,Explainable Model,0.5247425499768041,0.6287756389018395,0.5160696403302693,0.050266942435087655,0.15419980725451654,,,,,,134985.0,0.4546321129856056,0.5554935107944743,0.5845615671622221,0.4695913703787752
ontario,456,minmax,SVR,0.8097609558453667,0.5670158378725669,0.5692347724010759,0.04559119845781677,0.14800473161535366,,,,,,,0.5863609697525911,0.5360909635454318,0.5760257794323622,0.5784613768739186
ontario,789,zscore,Explainable Model,0.5748134186990951,0.5400591147590514,0.6337647841395069,0.24996298711513026,0.36066569447481844,,,,,,134985.0,0.6777087278783118,0.602980661752063,0.7598005424466404,0.49456920448101194
ontario,789,zscore,SVR,0.923396558348251,0.3230293284753585,0.2724031897321348,0.4912168492296205,0.49315229262124,,,,,,,0.18052089711616215,0.17301873061465067,0.2566448821912881,0.479428249006439
ontario,789,robust,Explainable Model,0.549719494609532,0.5144529476680098,0.4658257437902429,0.28638080966670176,0.3826426681049861,,,,,,134985.0,0.4521300201683852,0.4975197345979503,0.5485016664192833,0.3651515539753525
