Protocol,Fold,Model,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM,Params
group_kfold,1,Random Forest,0.9086714816407464,0.45777120450771425,0.6288856446005571,0.428114322014928,0.46527520904441927,0.5950436843110174,0.6454462112571449,0.6735156932707735,0.6015369895632926,
group_kfold,1,Support Vector Regression,0.7223843135766111,0.6523137335254292,0.6028521593654366,0.4561943769487523,0.4750290478043569,0.584936934738195,0.5821411743548528,0.6786796563769917,0.5656508719917064,
group_kfold,1,XGBoost,0.9430851815131227,0.4168434714932962,0.6023482711753579,0.453773278124061,0.48290005166268896,0.6197314177092044,0.5270103244292705,0.7054649187793565,0.5571864237836002,
group_kfold,1,TabNet,0.7665975818902873,0.7640837581154464,0.6084540582214165,0.4433368224510078,0.4703560434519138,0.6594988496149291,0.5815641895129097,0.687059119754196,0.5056940740036313,6126.0
group_kfold,1,Multi-task MLP,0.5014493270103697,0.45265921578101254,0.47816486997696256,0.6010702870908738,0.5964028221436228,0.4929370666124486,0.4282823121450604,0.4886911446572997,0.5027489564930414,4932.0
group_kfold,1,Explainable Model,0.6432375468094421,0.574129122219909,0.6386541677465636,0.4205056178501375,0.47943734314560565,0.5669972062430128,0.6561334739737681,0.680509379769666,0.6509766109998076,134985.0
group_kfold,2,Random Forest,0.9522749512912311,0.48251286904249346,0.35051139286066657,0.2158254703299635,0.31031388844721297,0.5271907003141192,0.20467654229809706,0.47736569958032804,0.19281262925012166,
group_kfold,2,Support Vector Regression,0.7568740298750112,0.5929758016542044,0.5352576645842643,0.15351269662442388,0.29972292887310537,0.48751838005768633,0.5003849786826224,0.5078907985830264,0.6452365010137215,
group_kfold,2,XGBoost,0.9910128832596893,0.2503888843917276,0.11091581961377645,0.29852912601938175,0.3796720466830373,0.3765130218264542,-0.30457299435760476,0.1663437430345016,0.2053795079517543,
group_kfold,2,TabNet,0.793225371461608,0.5535326227680146,0.5842872143512772,0.1372687215926684,0.2775321969791563,0.5843659519440882,0.5642275609308691,0.5887604202060825,0.599794924324069,6126.0
group_kfold,2,Multi-task MLP,0.6498096185738023,0.5953650116501987,0.5669549799459168,0.1445246529336798,0.2879757952529546,0.5899380169697752,0.45604723652983115,0.4987233168703763,0.7231113494136842,4932.0
group_kfold,2,Explainable Model,0.5819249424081172,0.5781485214723088,0.6118550829264076,0.12915914362257025,0.2613125540922642,0.6212418419548045,0.5469021552246682,0.547123449241175,0.7321528852849823,134985.0
group_kfold,3,Random Forest,0.9469589210963499,0.5411501432309068,0.7048167715378237,0.1877144616455737,0.28150663451915037,0.7405337364868272,0.6688380375964222,0.7692399170249686,0.6406553950430769,
group_kfold,3,Support Vector Regression,0.8103468692129457,0.508159454175853,0.6722300947747518,0.2115644597665346,0.3154042160143874,0.6716748764487461,0.6640453132628569,0.7410838041528516,0.6121163852345533,
group_kfold,3,XGBoost,0.9445924536084517,0.5882617294189925,0.6336536629400829,0.23392412495617598,0.33782528579549154,0.7041846380162302,0.6439196079953688,0.6610052854444805,0.5255051203042518,
group_kfold,3,TabNet,0.7704955150162639,0.6687615211360047,0.5435486211830256,0.2978162972282118,0.3728386048883187,0.5171252509674155,0.5804691266752624,0.612424023588758,0.46417608350066686,6126.0
group_kfold,3,Multi-task MLP,0.7124370470185111,0.6031119941012364,0.42242069223111195,0.36806327681000284,0.3703164501371749,0.5657534971765144,0.5314237852897569,0.5548592822351472,0.03764620422302922,4932.0
group_kfold,3,Explainable Model,0.6937666818571405,0.7182528111922722,0.5542088723699452,0.27903805312843005,0.33759886388639526,0.707954862934428,0.5667195353699496,0.6982842681708004,0.24387682300460278,134985.0
group_kfold,4,Random Forest,0.9357292751996384,0.6274007086614624,0.3177011038786748,0.967370819689539,0.6146485805823936,0.20265446545550703,0.42404251114400915,0.27836342448711915,0.3657440144280636,
group_kfold,4,Support Vector Regression,0.9501640567390325,0.5598503125281425,0.4398259943770638,0.8005373626007568,0.639884403788661,0.35252203494766765,0.5282136090106635,0.43441264225921705,0.44415569129070653,
group_kfold,4,XGBoost,0.9918176526511333,0.5551123018846109,0.3437109093741839,0.9096141130925856,0.6149000929768542,0.11533102497343839,0.4753742105602238,0.31985841699004947,0.46427998497302325,
group_kfold,4,TabNet,0.7590390479352139,0.6619174702660633,0.27198025200783227,1.0369757008481681,0.6318019033024413,0.1699612442091165,0.33829765215818874,0.2599709554825551,0.3196911561814686,6126.0
group_kfold,4,Multi-task MLP,0.8332039435089348,0.6142773847904663,0.195643790846583,1.1425623328072438,0.6926598284147668,0.035877272586396614,0.31323596134044795,0.19819222460933095,0.23526970485015675,4932.0
group_kfold,4,Explainable Model,0.7171964726957322,0.6207672024471892,0.34966058933569355,0.9499806133773908,0.675854433507358,0.3390515461474165,0.39342582797890413,0.3812642852001521,0.2849006980163008,134985.0
chronological,42,Random Forest,0.9059222870285397,0.6423079625170066,0.6599101033671647,0.3715337506355394,0.43721274025921986,0.6022957674923278,0.6503677955512435,0.7117607493257658,0.6752161010993221,
chronological,42,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,42,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,42,TabNet,0.6568487979057299,0.5632516800188185,0.5220307174577636,0.5235337933882529,0.5077812128104353,0.628034116920966,0.4734403670685189,0.6003297792227497,0.38631860661882045,6126.0
chronological,42,Multi-task MLP,0.7010191147630418,0.5083679352723847,0.6413616789287118,0.39297497840873763,0.45024206901620434,0.6445358017536142,0.5897623746809904,0.6895622843849833,0.6415862548952588,4932.0
chronological,42,Explainable Model,0.6613240519303105,0.6173709736544042,0.627682816728095,0.4082044328205465,0.47192648552472805,0.6907882443923324,0.5716792072593846,0.6881926875616176,0.5600711276990453,134985.0
chronological,123,Random Forest,0.9066329062616972,0.641125123382432,0.6594717492701372,0.37240786744120014,0.4341787481718498,0.6103105997747824,0.6345523157925099,0.7087766249994433,0.6842474565138132,
chronological,123,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,123,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,123,TabNet,0.6748332592944712,0.6613306511519176,0.20827510051831097,0.8637211075987876,0.5782173156513619,0.3603449477925944,0.24426121988625615,0.08562808166150881,0.1428661527328844,6126.0
chronological,123,Multi-task MLP,0.7295029406173605,0.5383582058593368,0.6588994263436696,0.37366035915217105,0.4229640579512201,0.6504617607248704,0.6115464892559676,0.693215260007198,0.6803741953866425,4932.0
chronological,123,Explainable Model,0.7304737924409312,0.6257177701193338,0.6697077760822685,0.3623983892516134,0.4429529971263072,0.669439398352009,0.6031195389334798,0.7243810325416437,0.6818911345019416,134985.0
chronological,456,Random Forest,0.9403694308169254,0.6509359767384004,0.6505252406960478,0.38203972289057886,0.44047723665422567,0.6137869308809475,0.6316030660372918,0.689760318960561,0.6669506469053907,
chronological,456,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,456,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,456,TabNet,0.6770389036786952,0.6716410065768371,0.5321960088145647,0.514256676785711,0.5021760078557447,0.6304405696567896,0.4088417743914633,0.6112785336077837,0.4782231576022222,6126.0
chronological,456,Multi-task MLP,0.6902118512892558,0.5427604634845216,0.6384408263305603,0.3961318457086036,0.44699439606798996,0.6164770686326805,0.5862198071101081,0.6953080174011268,0.6557584121783258,4932.0
chronological,456,Explainable Model,0.7428728478682058,0.611546229754973,0.6505218922505349,0.38275738020347505,0.452229391144077,0.6368173537644888,0.6050763198693319,0.6897314728837423,0.670462422484577,134985.0
chronological,789,Random Forest,0.9107060226474866,0.6348294222115513,0.6629831562102559,0.36841734919770763,0.43432999539102646,0.6164715682118638,0.6451958394835201,0.7178791031884106,0.6723861139572294,
chronological,789,Support Vector Regression,0.7609857535467427,0.5923363369291884,0.56513683442534,0.4750528019079048,0.478572234654954,0.46560227427101464,0.547960305230923,0.598841627386437,0.6481431308129858,
chronological,789,XGBoost,0.9581985970718974,0.6078700003201709,0.664707052182822,0.3670265770136729,0.41115954790941067,0.636596292796457,0.628235262944165,0.7116615664318917,0.6823350865587741,
chronological,789,TabNet,0.7940559915677393,0.6616780152318372,0.5687722823896202,0.47142808909126793,0.5031111592455064,0.5197084594507269,0.5439599650665479,0.6131731063785681,0.5982475986626381,6126.0
chronological,789,Multi-task MLP,0.5874896297417862,0.5510395732411171,0.5922059064366347,0.44603016407243096,0.4936384486573266,0.6258945658566607,0.5684817078690896,0.6351101430609574,0.5393372089598307,4932.0
