Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,feature,remove_NO2-N,5555,0.7953431797177973,0.5569962029422817,0.7098627771503877,0.3108022948373915,0.4075505268227551,0.7350218157766019,0.79459430799824,0.4101948544345363,0.8014654819939144,0.8080374255486462,163914.0,,,,
original,feature,remove_DOC,5555,0.5253513590667029,0.3354999581007919,0.44478869458923975,0.6321282045543566,0.6632061699989646,0.491014681584229,0.5715995281858444,0.1062505561079563,0.5237681276526078,0.5313105794155617,163898.0,,,,
original,feature,remove_NH4-N,5555,0.8124493539772081,0.6202112692626625,0.5017364892768632,0.5723744666064394,0.5662486908119364,0.49529819974820344,0.5785508833771111,0.24512393835676738,0.5836140379649519,0.6060953869372825,163914.0,,,,
original,feature,remove_Br,5555,0.6531112000319453,0.6563580399929329,0.5422409689183596,0.5030691979935773,0.542901484427005,0.5458573350837088,0.6590064890057807,0.16193128005002078,0.6631753142758632,0.6812344261764239,163881.0,,,,
original,feature,baseline_all_features,7777,0.4381278845311753,0.20753796721927448,0.3118315379180655,0.9279789064484578,0.7308963317656906,0.3224516560887092,0.3169734944205721,-0.05441763940166777,0.43251337463713124,0.541636803845583,177466.0,,,,
original,feature,remove_Temp,7777,0.4002990668718119,0.10501830636969667,0.2518117491651592,1.0579191425427872,0.748534592124568,0.2465719699899579,0.30408010914440464,0.07553585404024554,0.2595032657956622,0.3733675468555261,163914.0,,,,
original,feature,remove_pH,7777,0.429486458198585,0.14723193675056703,0.2881926790335117,0.9975215105035966,0.7258962316065405,0.1349986697693556,0.3822432671603623,0.13709218505402798,0.35024384106034856,0.4363854321234648,163882.0,,,,
original,feature,remove_UVA254,7777,0.4053086644000355,0.12591428886585593,0.2501617467459431,1.0809268723701555,0.7580765647530934,0.24366281400164913,0.23845230654346838,0.14288413814174294,0.26394103549637093,0.36186843954648473,163914.0,,,,
original,feature,remove_Cl2,7777,0.33707945755443963,0.15583780250622567,0.2455731305528198,1.0458708094017113,0.7673279515921828,0.15596800911832553,0.3511788226046435,0.015149199134655178,0.2605995520080394,0.4449700698984358,150593.0,,,,
original,feature,remove_NO2-N,7777,0.37592444594278474,0.20284394419289412,0.3442373460230188,0.8923963549095489,0.6882866507589034,0.3351310635593747,0.4123093215528899,0.05071411397227776,0.3978721454505889,0.5251600855799625,163914.0,,,,
original,feature,remove_DOC,7777,0.2570122581863351,0.01809715569065793,0.10837278249978685,1.310216386215409,0.837335714730405,-0.0003071213590970512,0.1144808615500994,0.12028251683695279,0.12203121632905556,0.18537643914192414,163898.0,,,,
original,feature,remove_NH4-N,7777,0.38418379432851346,0.20405232540289112,0.3407985741759652,0.8898361790720453,0.7238830665412799,0.33178603313290644,0.4264011963485047,0.019367144978258977,0.3896566261219151,0.5367818702982415,163914.0,,,,
original,feature,remove_Br,7777,0.42417171354722416,0.17326649608498834,0.304383782479617,0.9594506961153242,0.7252135452307258,0.1670907379934271,0.464925335390753,0.10003002882568557,0.2698456908485408,0.5200271193396787,163881.0,,,,
original,feature,baseline_all_features,9999,0.8995370917985218,0.19289172971573176,0.4485796312805602,1.3951436938763992,0.6618476568104411,0.6129299613124506,0.4783070010165088,0.012214065843168642,0.5766347799279601,0.5628123483027132,177466.0,,,,
original,feature,remove_Temp,9999,0.9226758730483091,0.20428755096709064,0.43547799086283445,1.366866380627711,0.658729576696661,0.5975504284752519,0.4294759276050928,0.05750747411740509,0.538323204394785,0.5545329197216371,163914.0,,,,
original,feature,remove_pH,9999,0.8377706376389398,0.16644807610027282,0.3617486257928613,1.5616680438913164,0.7305400777376561,0.5518722453449162,0.3615882331867123,-0.08358845128900394,0.4821107351178765,0.49676036660380496,163882.0,,,,
original,feature,remove_UVA254,9999,0.4165001836746218,-0.14400331032715155,0.24426749099797956,1.7709647819475645,0.7984879622020216,0.32167345690950666,0.34183288453352956,-0.20194095329381967,0.4073115543524709,0.3524605124882103,163914.0,,,,
original,feature,remove_Cl2,9999,0.8046853898402884,0.16040249391315337,0.35208054112111264,1.492499499915008,0.7704747437568095,0.4226516708503155,0.38742180563549244,-0.0017919599076516857,0.45524472151797435,0.4968764675094326,150593.0,,,,
