Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (ug/L),Test R2 TCAA (ug/L),Test R2 BCAA (ug/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,3407,0.5,0.6599401646005167,0.27544942340014256,0.19221781574148472,1.0637959560757408,0.6650506351937022,0.29957006977371115,0.11312144578170447,0.08033893983778972,0.21309786802608988,0.25496075528812867,177466,0.10000000149011612,0.0,0.0,,,,
original,3407,1.0,0.694863601321856,0.2821226495122709,0.1259703779135493,1.089548065207618,0.6746480159785655,0.23740308740715432,0.1408749535749786,0.10193917412712039,0.07193109082165405,0.07770358363683971,177466,0.10000000149011612,0.0,0.0,,,,
original,5555,0.0,0.6328962468152982,0.6952201893256955,0.5020043626148057,0.5492085634487388,0.5770419335686162,0.5314152445249434,0.6384132917750458,0.09166424222411274,0.6334624227765666,0.6150666117733605,177466,0.0,0.4000000059604645,0.0,,,,
original,5555,0.01,0.6320534866099334,0.7001950109651076,0.4999778666347211,0.5521710886103335,0.578661686285122,0.5289697099343935,0.6308184839047284,0.09236739312211761,0.6308719514952049,0.6168617947171615,177466,0.0,0.30000001192092896,0.05000000074505806,,,,
original,5555,0.05,0.6330385265860972,0.7039767360915186,0.5009801729129527,0.5501392616042032,0.5778189696808503,0.529336471767416,0.6301830152365115,0.0884885158014227,0.6275536696920165,0.6293391920673967,177466,0.10000000149011612,0.0,0.05000000074505806,,,,
original,5555,0.1,0.6322726353862435,0.7059111701847064,0.5001836291291438,0.5514732652803771,0.5792464077635044,0.5297181821075136,0.6246075920452202,0.0891739461124863,0.6266657237312149,0.6307527016492843,177466,0.0,0.0,0.05000000074505806,,,,
original,5555,0.5,0.6552624662223865,0.6952159885032554,0.5221467071442104,0.5299629175272998,0.5643008986510003,0.5427609272318975,0.6276019626771667,0.14833732033605007,0.637108772880619,0.6549245525953189,177466,0.0,0.0,0.05000000074505806,,,,
original,5555,1.0,0.6649836309105859,0.6933898175295045,0.5212691116750944,0.5362427571886198,0.5707896496051589,0.5116123858886852,0.5997128938097048,0.18955639695312843,0.6491397498576326,0.6563241318663214,177466,0.0,0.0,0.05000000074505806,,,,
original,7777,0.0,0.4378817642082621,0.20874467081594075,0.3169460967710113,0.921707151465724,0.7314074190738127,0.3303628990070555,0.32025341716003497,-0.04435552261120668,0.4440591126081457,0.5344105776910275,177466,0.15000000596046448,0.20000000298023224,0.0,,,,
original,7777,0.01,0.43797877486175063,0.20841600177455608,0.3164046271609632,0.9223078962856024,0.7310232308166549,0.3298162118090827,0.320128358710142,-0.04585414978345281,0.44128628273123793,0.5366464323378063,177466,0.15000000596046448,0.20000000298023224,0.0,,,,
original,7777,0.05,0.438072605769346,0.20834233155383225,0.3146643846909954,0.9241688402891569,0.7297558438707088,0.32737073165458974,0.31923428159969025,-0.050552316580178,0.4364533155354732,0.5408159112454017,177466,0.15000000596046448,0.05000000074505806,0.0,,,,
original,7777,0.1,0.4381278845311753,0.20753796721927448,0.3118315379180655,0.9279789064484578,0.7308963317656906,0.3224516560887092,0.3169734944205721,-0.05441763940166777,0.43251337463713124,0.541636803845583,177466,0.15000000596046448,0.0,0.0,,,,
original,7777,0.5,0.45988218631031097,0.1983020342252153,0.3281142257378778,0.8945480872093692,0.7278528652117175,0.3447338048054911,0.3456397681496607,-0.07471943916133328,0.4666227351368586,0.5582942597587122,177466,0.05000000074505806,0.0,0.0,,,,
original,7777,1.0,0.45496823616376175,0.19995157996151147,0.3249698528570795,0.899540936391244,0.7302643232846159,0.3377302032893287,0.3383809272359839,-0.07603510986049011,0.47080836760230405,0.5539648760182717,177466,0.0,0.0,0.0,,,,
